"data_id","work_type","work_price","company_area","company_id"
"523","家庭装修","8000","深圳","15562566"
"524","家庭装修","5600","深圳","15562566"
"525","家庭装修","3500","深圳","15562566"
"526","家庭装修","3800","深圳","15562566"
"527","家庭装修","3000","深圳","15562566"
"528","家庭装修","4500","深圳","15562566"
"529","家庭装修","5600","深圳","15562566"
"530","家庭装修","3600","深圳","15562566"
"531","家庭装修","10500","深圳","15562566"
"532","家庭装修","4000","深圳","15562566"
"533","家庭装修","3000","广州","11682633"
"534","家庭装修","11520","广州","11682633"
"535","家庭装修","9000","广州","11682633"
"536","家庭装修","200000","广州","11682633"
"537","家庭装修","96000","广州","11682633"
"538","家庭装修","116000","广州","11682633"
"539","家庭装修","7000","石家庄","18005001"
"540","家庭装修","5000","石家庄","18005001"
"541","家庭装修","999","石家庄","18005001"
"542","家庭装修","6300","石家庄","18005001"
"543","家庭装修","999","石家庄","18005001"
"544","家庭装修","5000","石家庄","18005001"
"545","家庭装修","16000","石家庄","18005001"
"546","家庭装修","8000","石家庄","18005001"
"547","家庭装修","4500","石家庄","18005001"
"548","家庭装修","6500","石家庄","18005001"
"549","家庭装修","1500","南昌","12415922"
"550","家庭装修","3200","南昌","12415922"
"551","家庭装修","5500","合肥","20066987"
"552","家庭装修","4500","合肥","20066987"
"553","家庭装修","4000","合肥","20066987"
"554","家庭装修","3000","合肥","20066987"
"555","家庭装修","3000","合肥","20066987"
"556","家庭装修","4000","合肥","20066987"
"557","家庭装修","6000","合肥","20066987"
"558","家庭装修","8000","合肥","20066987"
"559","家庭装修","5000","合肥","20066987"
"560","家庭装修","6000","合肥","20066987"
"561","家庭装修","7000","合肥","20066987"
"562","家庭装修","1500","贵阳","14590145"
"563","家庭装修","1500","贵阳","14590145"
"564","家庭装修","1800","贵阳","14590145"
"565","家庭装修","1600","贵阳","14590145"
"566","家庭装修","1500","贵阳","14590145"
"567","家庭装修","2093","贵阳","14590145"
"568","家庭装修","1500","贵阳","14590145"
"569","家庭装修","2200","贵阳","14590145"
"570","家庭装修","2860","贵阳","14590145"
"571","家庭装修","501","贵阳","14590145"
"572","家庭装修","3200","贵阳","14590145"
"573","家庭装修","7000","上海","6672343"
"574","家庭装修","30000","上海","6672343"
"575","家庭装修","12000","上海","6672343"
"576","家庭装修","40000","上海","6672343"
"577","家庭装修","300","济南","17103213"
"578","家庭装修","15000","郑州","17180322"
"579","家庭装修","25000","郑州","17180322"
"580","家庭装修","3000","郑州","17180322"
"581","VR/3D","38000","北京","2508511"
"582","VR/3D","200","北京","2508511"
"583","VR/3D","200","北京","2508511"
"584","VR/3D","100","北京","2508511"
"585","VR/3D","80000","北京","2508511"
"586","VR/3D","8000","临沂","5432665"
"587","VR/3D","6000","临沂","5432665"
"588","VR/3D","6000","临沂","5432665"
"589","VR/3D","8000","临沂","5432665"
"590","VR/3D","8000","上海","415452"
"591","VR/3D","9999999","上海","415452"
"592","VR/3D","9999999","上海","415452"
"593","VR/3D","999999","上海","415452"
"594","VR/3D","99999","上海","415452"
"595","VR/3D","8500","上海","415452"
"596","VR/3D","4500","上海","415452"
"597","VR/3D","6500","上海","415452"
"598","VR/3D","3600","上海","415452"
"599","VR/3D","8600","上海","415452"
"600","VR/3D","3500","上海","415452"
"601","VR/3D","3200","上海","415452"
"602","VR/3D","5000","临沂","5432665"
"603","VR/3D","6500","临沂","5432665"
"604","VR/3D","3900","临沂","5432665"
"605","VR/3D","7500","临沂","5432665"
"606","VR/3D","8000","临沂","5432665"
"607","VR/3D","5000","临沂","5432665"
"608","VR/3D","200","临沂","5432665"
"609","VR/3D","9000","临沂","5432665"
"610","VR/3D","50000","北京","2508511"
"611","VR/3D","500","北京","2508511"
"612","VR/3D","80000","北京","2508511"
"613","家庭装修","15000","郑州","17180322"
"614","家庭装修","4500","郑州","17180322"
